agentid,yearnumber,weeknumber,Lotto,Lotto Plus1,Euro Millions,Euro Millions Plus,ScratchCard
3e43f279,2016,17,1887,437.5,802,353,2867.04
0ad75cc4,2016,17,619,148,415,193,1162.08
735bcb16,2016,16,264,66.5,117,54,-32.4
ce738041,2016,13,1228,287.5,366,178,1153.98
ecba3722,2016,17,746,172,287,105,0
a2174770,2016,17,1764,425.5,680,317,766.98
272c3323,2016,13,668,162,283,104,514.08
fbb3a72b,2016,17,366,91.5,108,55,216
e82462db,2016,13,599,149,198,96,253.98
fe6ac646,2016,13,280,60.5,114,44,0
0dc3b478,2016,15,101,23,64,30,910.08
55422078,2016,13,2016,484.5,715,302,2751.12
6e06a62a,2016,17,272,64.5,97,49,0
08b615e6,2016,15,2549,621,1264,495,2336.04
298d9ec3,2016,15,844,207.5,599,245,1272.06
e1c683dc,2016,13,329,80.5,241,117,476.1
1f84ae13,2016,13,301,76,233,84,343.98
c287963c,2016,14,2028,467,680,292,1090.08
866825ba,2016,15,1728,391,1015,402,1515.06
352ee9c8,2016,16,711,166.5,502,186,694.08
fbcf0ef9,2016,16,1912,456,888,338,1351.08
72fba9b7,2016,17,580,138,377,159,9
f8cba579,2016,14,2722,625.5,1275,505,1821.06
c56a1016,2016,16,2050,507.5,929,442,2300.04
063bf277,2016,17,4707,1160,1626,754,2975.04
f7c4123d,2016,14,1289,305,500,200,595.98
942dbc74,2016,16,378,94,126,61,584.1
7130761c,2016,16,370,83.5,167,72,0
f26e9699,2016,15,456,105,206,59,170.1
1d111c01,2016,16,468,114,224,112,584.1
8b2c4970,2016,14,1865,413,820,337,782.1
de39eb5f,2016,17,3045,724,1091,405,3134.3184
3562923e,2016,14,1511,364,563,259,1738.08
3afbb9df,2016,16,307,76.5,126,54,216
67adbfa6,2016,15,1201,243,623,255,1090.98
2a009f6a,2016,16,662,143.5,268,84,0
30489b81,2016,16,2610,644.5,1037,441,2867.22
6d583dbc,2016,13,919,232,255,117,739.98
335b007b,2016,15,268,54.5,215,74,674.1
b5fd84d4,2016,13,981,234.5,336,112,919.98
2.61E+040,2016,14,190,47.5,57,27,0
b47daec5,2016,13,229,44.5,95,46,170.1
fd5d5a85,2016,17,503,114,141,65,170.1
15caa7c1,2016,17,882,214,294,151,1225.08
1714ec5e,2016,13,711,169.5,399,160,566.1
d59d1eda,2016,16,152,39,90,44,468
78818537,2016,13,454,97,261,107,1009.08
54bd430c,2016,15,699,172,327,165,260.1
f87b6e72,2016,16,831,196.5,507,197,0
291232c1,2016,13,2083,496,748,323,1258.02
6708da04,2016,14,174,39.5,73,35,550.08
1436d3dd,2016,13,147,36,93,45,1002.06
bd19ee2d,2016,15,323,77.5,163,85,238.275
4619a861,2016,13,325,83,134,69,-110.7
06e63e70,2016,16,1287,280.5,1267,518,360
866759aa,2016,13,135,34.5,134,33,1188
2ab5057f,2016,16,836,201,555,192,327.96
8a40f289,2016,15,386,90,340,147,829.08
97901fdb,2016,13,2138,514.5,811,322,2416.14
619ed022,2016,13,1854,419.5,557,227,1252.08
90af9b2f,2016,17,864,205,412,200,379.98
4669f9df,2016,17,601,116.5,180,83,991.08
33c8aeac,2016,15,431,106,288,109,955.08
232a2fe1,2016,14,2493,577.5,1203,475,2116.26
ebf4d672,2016,14,1166,286.5,456,168,1000.08
ac12411b,2016,17,229,49.5,147,46,306
a1567592,2016,13,791,200,351,160,334.08
d9713103,2016,16,642,158,301,146,306
5d686b86,2016,15,736,174.5,432,204,216
bfe4d6ea,2016,16,582,142,342,97,937.08
fa21eedf,2016,15,576,141.5,373,170,0
9625f01c,2016,16,158,22,123,43,-36
be5faab3,2016,15,752,172.5,277,144,379.98
9e3cc38c,2016,15,319,74,138,62,784.98
39b88d14,2016,13,135,34.5,165,58,1234.08
db981109,2016,17,1003,245,377,154,1335.06
4a91e8bb,2016,13,2350,552,1030,470,1623.06
27344520,2016,13,66,17,42,23,917.1
334a7aa0,2016,16,2124,410,936,337,1858.14
6d0eb913,2016,17,1871,412.5,664,292,1270.08
b20bcf66,2016,14,413,104.5,200,91,0
eaba7015,2016,15,895,222.5,678,282,424.08
46e59bf4,2016,16,574,131,386,95,1063.98
7c4d4c4d,2016,13,380,94.5,239,98,559.98
0fe99557,2016,17,1111,240.5,371,171,343.98
3289eb19,2016,17,1538,334.5,752,263,910.08
3ff2b1e4,2016,16,613,152.5,281,146,270
5697a229,2016,16,472,111.5,237,108,846
3336976c,2016,15,1046,254,441,208,739.98
5d01603e,2016,16,546,137.5,169,81,433.98
ff166dc7,2016,14,2140,486,1004,321,2765.16
eead5e0b,2016,13,243,61,182,89,298.98
948bfc7f,2016,13,613,146,360,146,163.98
40f27f4a,2016,16,703,161,263,97,0
fd0e1ac7,2016,17,1907,445,750,293,1794.96
8ec7d3df,2016,15,554,134.5,217,97,343.98
a240c319,2016,17,603,145.5,402,119,1432.08
4ca37e52,2016,15,162,41.5,119,65,-17.73
e502c1ce,2016,14,2889,679,1083,443,3430.08
efe3b910,2016,14,390,97.5,217,103,559.98
db4fef61,2016,15,274,69,123,42,0
79521c87,2016,13,442,106.5,410,176,0
1557a02e,2016,13,196,45,117,38,216
4e0b848f,2016,16,215,49,117,50,494.1
fc1f3fb0,2016,17,1162,280.5,397,183,2037.06
cdc3dd6d,2016,15,172,34,97,42,-110.7
05f4721c,2016,14,1897,413.5,910,348,1810.08
4defdffc,2016,16,243,54,160,76,0
38e86cce,2016,14,544,132,215,109,1081.98
4cd81a04,2016,16,1007,246.5,724,281,550.08
1aa5737d,2016,15,1079,260,840,286,170.1
e09d0a81,2016,13,925,235,496,211,0
475fc9b3,2016,16,1213,295,515,252,3322.98
1d1783b0,2016,15,1356,329,566,249,1758.06
2e47f14c,2016,17,2146,441.5,734,306,2404.08
1384e757,2016,14,872,209,614,265,1002.06
ff28af3f,2016,13,364,92,200,91,858.96
9d3978b3,2016,13,978,195.5,150,68,476.1
ee78cab3,2016,14,158,38.5,132,52,90
47d7ee2d,2016,17,1323,323,467,201,5730.3
3c2f6087,2016,16,1050,254.5,334,137,432
874a1332,2016,17,823,186.5,303,127,305.1
97c204bc,2016,16,217,52.5,88,36,0
03ae0090,2016,15,793,186,299,120,1317.06
2485bcfa,2016,14,1681,391,969,339,802.98
b58b9693,2016,17,2381,432.5,776,242,469.98
5.18E+065,2016,17,1042,235,351,147,0
f5318135,2016,13,1546,356.5,620,240,1228.14
dc932956,2016,14,1038,260,524,224,2721.06
0fb1491a,2016,15,2171,538,986,407,2973.06
ca598326,2016,14,1203,274,588,275,604.98
021172b1,2016,16,1040,259.5,695,274,1054.08
6d419845,2016,13,927,211.5,445,225,1308.96
2029b93a,2016,13,1777,443.5,787,368,3328.8804
71022557,2016,13,3710,863,1619,650,1841.04
298162f9,2016,15,1515,344,581,260,865.08
461640,2016,17,429,108.5,323,109,0
00ec5b53,2016,15,190,42.5,40,8,0
e123996c,2016,16,484,111.5,172,88,478.98
5ba0e42f,2016,14,1054,252,546,221,1540.08
4a5c1c97,2016,17,1060,260,323,152,1254.96
828b761c,2016,15,343,87.5,154,60,216
bc94684a,2016,13,529,123.5,345,124,360
c55802c0,2016,14,121,31,66,29,0
2d44b3a3,2016,16,98,23,34,18,163.98
c1e52196,2016,16,1428,339,818,245,739.98
6f88f634,2016,14,1479,366.5,1034,408,2322.18
926adb46,2016,14,2457,603,1052,444,1191.06
6255cdb7,2016,17,1716,382.5,770,282,1594.08
5aae6aa2,2016,16,1797,429,767,308,2289.06
dd296f17,2016,13,1289,321,485,211,723.96
d9aba81b,2016,14,742,182,303,135,559.98
ba02f201,2016,16,821,173.5,329,123,96.48
e43dcc55,2016,16,1975,435.5,1026,467,1452.06
021469c5,2016,16,3716,893,1972,765,1876.14
bfdb228c,2016,15,1183,289.5,415,195,1189.98
29a72326,2016,14,211,54,38,21,0
3a3f81c8,2016,13,2140,512,1006,431,0
0e9fd68f,2016,17,215,53,69,31,379.98
88b11347,2016,16,1914,456,1092,423,2100.06
1b8cd55c,2016,17,115,29.5,114,32,0
fde3e3bd,2016,17,1003,241.5,559,258,99.18
3f1331fd,2016,14,2822,619,1026,479,1884.06
0f648572,2016,16,382,97.5,145,73,0
b2549af0,2016,14,682,169,228,103,1198.08
578edd56,2016,14,2067,509.5,1468,584,1373.04
9d4278cb,2016,17,1391,331.5,406,143,613.98
5cb6374c,2016,17,2056,505.5,1210,401,3344.22
0f2a9938,2016,17,1560,365,423,172,802.98
2e3f1b83,2016,13,350,65.5,123,36,305.1
ea21a358,2016,13,280,64.5,248,108,0
98420985,2016,14,1450,353.5,634,303,1558.08
855ffb2c,2016,15,2753,662,1234,502,640.08
342bf42c,2016,17,352,87,128,63,163.98
660fc901,2016,15,695,161.5,299,119,0
318000000000,2016,17,250,62,110,50,0
89056cd9,2016,13,687,159.5,377,167,433.98
bdeec1da,2016,13,711,174.5,415,182,327.96
4.69E+103,2016,15,950,230,447,186,631.98
8fde9c94,2016,13,1756,408,824,365,1054.08
51eb1e29,2016,14,1562,380.5,594,263,0
61640deb,2016,16,421,102.5,301,131,784.08
85a51488,2016,17,625,147,150,62,0
052da8a4,2016,17,2695,635,1334,495,2117.16
2d20fcae,2016,13,554,130.5,732,300,829.98
0ee2cce9,2016,13,1011,248.5,502,191,1018.98
cf1005c0,2016,16,1450,342,669,252,837
f3da5a3d,2016,16,644,157,270,129,739.08
e79ebef5,2016,14,4080,820.5,1906,671,1531.98
383fe30d,2016,13,401,98,178,76,469.98
86800016,2016,14,1146,277,647,308,1360.08
942793f2,2016,13,313,77.5,117,56,0
ce5e9f21,2016,16,574,143.5,368,158,1704.06
7760be3a,2016,13,911,213,377,165,1110.06
799f2aec,2016,17,264,58,106,41,0
85d2e53e,2016,17,1195,280.5,476,189,2089.08
c824f706,2016,13,133,34,103,40,360
a64f261e,2016,13,372,92,252,87,135
1af64b0a,2016,17,650,145.5,189,77,105.9345
77b84aad,2016,14,307,61.5,160,67,216
a4aeffef,2016,16,578,139,200,106,730.08
d0f854d2,2016,17,897,205.5,621,195,1054.08
84b1ad24,2016,17,2457,587.5,966,418,2496.06
119468ff,2016,17,1305,316.5,548,202,802.98
ba7cf2b9,2016,13,190,46,73,29,739.08
1f914807,2016,15,366,92,169,63,180
513f67c5,2016,13,693,169,259,103,865.08
349e7abe,2016,17,1569,373,658,224,629.1
cfaff577,2016,17,160,38.5,86,41,334.08
a4720886,2016,17,317,73.5,163,59,445.986
207597ce,2016,14,2093,507.5,1409,498,334.08
6b5c8568,2016,14,145,32,73,30,216
504f0f18,2016,16,1328,316,507,220,1569.06
c92aa5bd,2016,13,225,52,79,41,216
9b3e6b9e,2016,15,501,118.5,390,164,216
c0b03635,2016,17,1232,305.5,448,172,1270.08
aac8107e,2016,14,119,28.5,172,42,135
2723093f,2016,17,1658,405,515,217,397.98
c3bfdcf8,2016,14,785,183,553,224,0
7ce8ee72,2016,13,2003,430,1015,379,1470.06
1c5a463f,2016,16,1056,243.5,726,350,2305.08
a17cadbe,2016,15,225,55.5,138,60,334.08
4daa4a6e,2016,16,2116,502.5,772,306,1892.16
3ca200e2,2016,14,983,225,397,175,919.08
63301f34,2016,16,1289,313,770,307,966.96
1a5841ca,2016,15,1346,320,537,213,730.08
70e0224d,2016,17,1413,348,452,229,1488.06
cffabd70,2016,13,376,93.5,228,93,0
6718706b,2016,13,1954,357,1256,411,1945.08
4d283522,2016,17,695,167.5,237,105,795.96
1371433e,2016,14,856,212,290,136,1090.08
0d34eb85,2016,17,2255,559.5,855,350,1126.08
fc342c4e,2016,16,1558,368.5,605,224,2074.14
936b77e6,2016,14,1052,252,520,236,2395.08
87c97f1c,2016,15,885,186.5,380,134,0
94532484,2016,17,748,166,355,132,531
f80b13ea,2016,13,1142,269.5,395,186,1281.96
1b72820a,2016,13,2206,504.5,1116,470,1344.06
7845c902,2016,15,290,68,158,62,566.1
93fa845a,2016,14,1228,303,417,186,1090.08
10a9eb47,2016,14,201,50.5,36,20,0
ffefe5f7,2016,15,360,88.5,213,98,1333.08
c952443b,2016,17,1730,410.5,842,342,2975.04
784d411b,2016,13,729,170.5,401,169,1495.08
a4c092ae,2016,15,721,181,349,174,379.98
715ac4e0,2016,17,446,94.5,141,66,919.98
b0dd216b,2016,14,1495,332.5,513,195,1378.08
7e7e932d,2016,17,2432,551,1069,404,1887.12
dd884582,2016,17,1775,382,645,228,1009.98
d441e14f,2016,14,978,227,305,129,590.562
a94cf1d2,2016,16,1585,385.5,577,218,3198.06
b7975ae8,2016,17,444,107,169,68,125.505
74e168a7,2016,15,368,94,154,70,1029.06
8bb32016,2016,13,266,57,92,43,649.98
8cfe763c,2016,14,746,174,375,156,620.1
975599c4,2016,15,354,87.5,226,105,334.08
81ab1eea,2016,17,1424,324.5,469,229,973.08
a1629447,2016,14,374,82,314,118,270
e0f0e7b7,2016,17,1166,271.5,439,224,343.98
29d4ce6b,2016,14,331,84.5,108,55,315
3cd04d1e,2016,14,127,23,161,76,-135.945
e1beea46,2016,17,768,181,209,102,903.96
62ce523a,2016,14,591,130.5,239,93,423.18
2a8e7a79,2016,17,374,90.5,195,64,-272.295
236bbfd2,2016,13,5897,1335.5,2767,1148,1887.12
37f3503b,2016,13,1185,290.5,461,192,874.98
ae0e73b2,2016,15,695,156,485,191,919.08
e1738957,2016,16,1311,314,498,233,595.98
f7e7f152,2016,17,517,115.5,463,146,180
87dea2c1,2016,15,1130,260.5,561,249,1342.08
e899fdad,2016,16,1413,334,1234,421,1389.06
680c8377,2016,16,758,180,645,277,1047.96
ae40d517,2016,14,670,167.5,299,143,1723.14
70ec09fe,2016,13,170,41,88,38,0
f367b269,2016,16,1375,332,645,275,1461.06
e1fd91c1,2016,15,405,96,172,61,0
ff52f6bc,2016,13,3008,719.5,1021,409,1677.96
db9eddf5,2016,13,1091,236,489,199,900.18
1fbe15a2,2016,15,817,186.5,905,257,919.08
c0cb39f2,2016,13,1197,280.5,621,236,1848.06
d36a3953,2016,13,1025,249.5,656,310,2316.06
c35f35e2,2016,16,1899,449.5,883,345,1063.08
23053128,2016,13,1846,341.5,885,326,0
6c79ceb1,2016,15,1264,274.5,927,340,0
c6d73d20,2016,13,252,53.5,108,46,648
ca3f9b71,2016,15,838,202,450,194,351
60cedb64,2016,14,635,158,257,115,633.06
cb2435a7,2016,15,825,187.5,537,184,424.08
1eb16215,2016,17,913,217.5,423,216,2323.08
52ebf352,2016,15,895,214,577,256,1018.08
87816f47,2016,17,1571,375.5,655,285,739.08
575501eb,2016,15,472,119.5,257,113,1584
f3cdf240,2016,17,1078,266,414,194,964.98
3a653a6d,2016,14,182,44.5,64,32,163.98
f160c93c,2016,14,1403,337,528,247,822.96
5ce71f99,2016,15,1807,433,517,212,1450.98
ad7af1db,2016,16,335,83.5,189,82,396
bda537ab,2016,15,637,149,522,173,903.06
3579275c,2016,13,1189,287,509,237,1423.08
14b976cd,2016,13,915,223.5,408,162,1677.96
5aaa4581,2016,14,172,37.5,77,32,521.1
5cf773dd,2016,13,689,169,312,147,2064.06
fd7ad538,2016,13,344,84.5,119,45,571.9968
ae5f4c87,2016,13,1373,324,445,188,602.1
83d34d2a,2016,17,660,157.5,443,170,649.98
f4d5c537,2016,14,1836,432.5,763,350,1238.04
83dfcc8a,2016,15,1403,281.5,323,131,982.08
9dff5518,2016,13,403,95,165,71,379.98
f056eb67,2016,17,999,241.5,369,172,694.08
681de897,2016,16,1062,256,483,226,1296
060a1aa6,2016,14,197,49.5,106,50,396
81a106e6,2016,17,588,141,193,91,730.98
6ca8e8ef,2016,15,2146,507.5,1017,449,1947.06
d8cc287a,2016,15,2661,562,1396,527,991.08
158d0d99,2016,14,2071,483.5,1429,579,351
23b5fe38,2016,17,505,122.5,327,130,351
abd784ef,2016,16,750,159,360,142,604.98
d3bd9593,2016,14,397,100.5,149,71,730.08
ab627427,2016,13,658,158.5,452,180,253.98
f3cfb9f1,2016,17,299,75.5,38,19,514.98
1a7e94b7,2016,15,1144,276.5,404,195,476.1
91ac874e,2016,13,601,136,417,158,1216.08
b9a1bc0b,2016,17,295,68,134,61,343.98
854ba126,2016,16,274,70,130,71,163.98
310131ef,2016,14,905,224.5,288,115,334.08
50ed65f5,2016,13,1430,355,636,275,1164.06
6b1834d3,2016,16,154,37.5,112,35,782.1
e84a7ad3,2016,17,2252,547.5,723,324,1011.96
da2cb46c,2016,15,883,188.5,382,179,748.08
426080b1,2016,14,315,76.5,104,56,180
45188b26,2016,17,1362,331.5,644,283,2225.16
ff805a92,2016,14,458,115,207,87,1306.08
33d5614f,2016,16,686,148.5,415,190,343.98
efc72b46,2016,16,362,84.5,320,132,351
f685b0de,2016,16,297,74.5,123,54,497.835
715dcb73,2016,14,787,171,310,143,2161.08
81ce3ee1,2016,13,1740,423,763,336,1304.1
77c7a350,2016,14,844,194,301,123,135
07d3d793,2016,14,221,56.5,90,35,0
14b13208,2016,15,1387,295.5,844,365,1038.06
a89a4870,2016,15,744,179,443,211,4315.14
6c272131,2016,14,1030,228,605,263,2108.16
52cc7058,2016,16,1177,280.5,524,200,1106.1
fa6f6b6e,2016,14,1205,209,491,209,820.08
c90790ee,2016,16,462,105.5,281,135,396
acfcb5b4,2016,15,662,164,209,106,379.98
97071911,2016,15,927,223.5,425,173,531
776e8239,2016,14,752,188,263,127,550.08
721d45c1,2016,15,2069,516,1276,584,874.08
7999fa97,2016,17,1072,239.5,710,248,865.08
79240bf8,2016,13,1307,318.5,561,251,657
2602fc0b,2016,17,1377,232.5,242,103,395.1
1e1faadb,2016,13,1528,359.5,667,286,1830.06
bcb6667a,2016,16,817,192,301,126,685.98
69c0c0ab,2016,16,1803,428,627,302,1603.08
0c25c53b,2016,16,911,220,347,157,476.1
81015140,2016,16,454,113,163,89,588.78
37676bc8,2016,15,2628,380.5,770,330,1794.96
3062036f,2016,16,1144,284,634,265,1045.08
c548933e,2016,17,250,62.5,218,104,433.98
eb4e6128,2016,16,995,237,333,133,984.06
3b6dcddb,2016,13,954,225.5,371,161,1296.18
e3b8f7ab,2016,13,525,129,196,99,784.98
831e85d5,2016,16,348,82.5,233,98,343.98
8055efda,2016,16,294,70.5,84,41,0
924455f8,2016,13,160,40,108,56,163.98
f34a6310,2016,13,480,122.5,224,103,946.08
52fe94e9,2016,14,2038,491,649,281,1675.26
8ed18cc9,2016,13,709,173,270,133,901.98
8122f170,2016,17,1677,404.5,559,258,1992.06
c90b2907,2016,16,1971,453.5,734,302,1497.96
d14ef797,2016,15,795,189,502,246,3981.24
